,ETF1,ETF2,Pass %
0,IWM,VTWO,0.9375
1,SPYG,IVW,0.8125
2,VOO,IVV,0.75
3,IVE,SPYV,0.7291666666666666
4,IWB,SPLG,0.7083333333333334
5,VOO,SPY,0.6875
6,IWM,SPSM,0.6875
7,VTWO,SPSM,0.625
8,VO,IWB,0.5833333333333334
9,SPY,IVV,0.5625
10,VO,SCHB,0.5625
11,VTI,VO,0.5625
12,VO,SPY,0.5416666666666666
13,VO,ITOT,0.5416666666666666
14,VTI,SCHB,0.5208333333333334
15,VTI,ITOT,0.5208333333333334
16,VO,SCHX,0.5208333333333334
17,VO,SPLG,0.5208333333333334
18,VO,VOO,0.5
19,SCHB,ITOT,0.5
20,VO,IVV,0.5
21,DVY,IWR,0.4791666666666667
22,SCHV,SPHQ,0.4791666666666667
23,IWR,DIA,0.4583333333333333
24,SPLG,SCHX,0.4583333333333333
25,RSP,DIA,0.4375
26,DVY,OEF,0.4375
27,IWS,IJH,0.4375
28,VTV,SPHQ,0.4375
29,DVY,VYM,0.4166666666666667
30,DVY,FVD,0.4166666666666667
31,VO,DIA,0.4166666666666667
